smallRNA	11474.0-2hr_Embryo.high	11473.0-2hr_Embryo.low	11472.NBF-Ovary.high	11471.NBF-Ovary.low	11431.72hr_PBM-Ovary.low	11430.72hr_PBM-Ovary.high	11429.24hr_PBM-Ovary.low	11428.24hr_PBM-Ovary.high	12093.Male_Carcass	12092.Male_Testes	11524.72hr_PBM_Female_Carcass	11476.2-4hr_Embryo.high	11475.2-4hr_Embryo.low	11427.48hr_PBM-Ovary.low	11426.48hr_PBM-Ovary.high	aae_smallRNA_family	Ago2nm
aae-novel-10a	241.64595415631	248.464842224825	335.557958316245	252.812539501959	40.5959485243373	22.2148172831278	16.4883180266781	167.357552975102	1.06913603829503	6.2167307767028	0.843027446444574	273.397030044895	131.963239523239	44.0886004514673	153.571497130133	aae-novel-fam10	aae-novel-fam10
aae-novel-10b	448.771057718862	496.92968444965	335.557958316245	252.812539501959	40.5959485243373	22.2148172831278	16.4883180266781	180.231210896264	1.06913603829503	7.7709134708785	1.12403659525943	359.732934269598	164.33158129309	52.9063205417607	163.169715700766	aae-novel-fam10	aae-novel-fam10
aae-novel-110a	276.166804750069	177.474887303447	55.9263263860408	126.40626975098	40.5959485243373	22.2148172831278	49.4649540800343	90.115605448132	1.06913603829503	6.2167307767028	0.281009148814858	115.114538966271	4.9797448876694	8.81772009029345	105.580404276966	aae-novel-fam110	aae-novel-fam110
aae-novel-111a	310.687655343828	35.4949774606893	74.5684351813877	31.6015674377449	40.5959485243373	22.2148172831278	16.4883180266781	25.7473158423234	0.712757358863352	3.1083653883514	0.843027446444574	86.3359042247036	2.4898724438347	8.81772009029345	57.5893114237997	aae-novel-fam111	aae-novel-fam111
aae-novel-112a	8940.90030378348	1100.34430128137	2292.97938182767	284.414106939704	1583.24199244915	1399.53348883705	131.906544213425	128.736579211617	1.4255147177267	125.888798228232	5.05816467866744	2086.45101876367	29.8784693260164	79.3594808126411	3781.69811682952	aae-novel-fam112	aae-novel-fam112
aae-novel-11b	2520.02209334438	70.9899549213786	484.69482867902	15.8007837188725	40.5959485243373	22.2148172831278	16.4883180266781	25.7473158423234	1.24732537801087	10.8792788592299	0.843027446444574	417.290203752734	22.4088519945123	8.81772009029345	499.107365672931	aae-novel-fam11	aae-novel-fam11
aae-novel-13a	103.562551781276	35.4949774606893	18.6421087953469	15.8007837188725	40.5959485243373	22.2148172831278	16.4883180266781	12.8736579211617	0.178189339715838	1.5541826941757	0.562018297629716	14.3893173707839	2.4898724438347	8.81772009029345	9.59821857063329	aae-novel-fam13	aae-novel-fam13
aae-novel-14a	172.604252968793	106.484932382068	55.9263263860408	15.8007837188725	40.5959485243373	22.2148172831278	181.371498293459	12.8736579211617	0.178189339715838	3.1083653883514	0.562018297629716	230.229077932543	2.4898724438347	8.81772009029345	9.59821857063329	aae-novel-fam14	aae-novel-fam14
aae-novel-14b	103.562551781276	106.484932382068	55.9263263860408	15.8007837188725	40.5959485243373	22.2148172831278	181.371498293459	12.8736579211617	0.178189339715838	3.1083653883514	0.281009148814858	158.282491078623	2.4898724438347	8.81772009029345	9.59821857063329	aae-novel-fam14	aae-novel-fam14
aae-novel-15a	103.562551781276	35.4949774606893	93.2105439767347	15.8007837188725	40.5959485243373	22.2148172831278	16.4883180266781	12.8736579211617	0.712757358863352	4.6625480825271	0.843027446444574	14.3893173707839	2.4898724438347	8.81772009029345	19.1964371412666	aae-novel-fam15	aae-novel-fam15
