aegypti_Ago2_non3UTRtop.geneId	aegypti_Ago2_non3UTRtop.transcriptId
AAEL010659	AAEL010659-RB
AAEL022286	AAEL022286-RA
AAEL019604	AAEL019604-RA
AAEL010673	AAEL010673-RA
AAEL025714	AAEL025714-RA
AAEL019529	AAEL019529-RC
AAEL012093	AAEL012093-RA
AAEL012092	AAEL012092-RA
AAEL026069	AAEL026069-RA
AAEL024454	AAEL024454-RA
AAEL012203	AAEL012203-RC
AAEL011465	AAEL011465-RC
AAEL014932	AAEL014932-RC
AAEL014931	AAEL014931-RF
AAEL004151	AAEL004151-RF
AAEL011007	AAEL011007-RA
AAEL004175	AAEL004175-RA
AAEL025920	AAEL025920-RA
AAEL028007	AAEL028007-RA
AAEL000568	AAEL000568-RB
AAEL019896	AAEL019896-RA
AAEL023521	AAEL023521-RA
AAEL024852	AAEL024852-RA
AAEL024330	AAEL024330-RD
AAEL010975	AAEL010975-RA
AAEL010971	AAEL010971-RA
AAEL010974	AAEL010974-RA
AAEL009422	AAEL009422-RG
AAEL001252	AAEL001252-RB
AAEL001273	AAEL001273-RA
AAEL001275	AAEL001275-RB
AAEL024490	AAEL024490-RK
